Classificação,Comentários
Portabilidade realizada na linha incorreta,"Descrição do problema: Consumidor (a) informa que solicitou portabilidade da Tim para Claro, porém ao passar do prazo de portabilidade, verificou que seu número não foi portado, mas sim está com um número provisório. Já foi dado vários prazos para resolução porém nada foi resolvido._x000D_
O que o consumidor solicita como providências: Portabilidade com urgência._x000D_
Serviço Reclamado: pós-pago_x000D_
Telefone com problema(quando for linha telefônica): 21 974266892_x000D_
"
Demora na portabilidade,"Em relação ao texto abaixo, ainda não foi realizada a portabilidade do meu número 11998687469, o telefone continua sem funcionar._x000D_
Gostaria de entender como vocês entram em contato com um número que não está funcionando por causa de vocês e relatam que não conseguiram contato comigo???? No telefone fixo eu não estou 24h a disposição de vocês, não tenho como ficar esperando a boa vontade de vocês para resolver o problema de portabilidade._x000D_
Minha solicitação de portabilidade foi em 28/01/2021, ocasião em que contratei TV, internet, telefone fixo e telefone celular e até agora NADA de telefone celular._x000D_
Quando eu liguei para a ouvidoria, a gravação disse para ligar para 1052, quando eu liguei para 1052 falaram para ligar para outro número, jogo de empurra e nínguem faz nada, nem a ANATEL que também recebe a reclamação e não multa esse desserviço, estou sem celular há vários dias e ninguém está nem aí._x000D_
Enquanto não resolverem continuarei fazendo os registros aqui na ANATEL, mesmo que ninguém esteja nem aí._x000D_
_x000D_
_x000D_
Em atenção ao protocolo 202102121469341 realizamos tentativas de contato com sr. SANDRO TOSHIO UEHARA, através do(s) telefone(s) 11998687469 (11)26533917  11998687469, em 26 fevereiro 15:41,  26 fevereiro 19:02  27 fevereiro 10:06, 27 fevereiro 2021 10:59, porém sem sucesso. Queremos esclarecer que a portabilidade da linha 11998687469 , solicitada em 12/02/2021, foi concluída em 26/02/2021 e o serviço foi devidamente disponibilizado. Ressaltamos que foi feita migração da linha que estava no segmento pré pago para o controle vinculado ao combo net,  foi feita adesão de acordo com o ofertado ao cliente  Controle 8GB + 5GB de Bônus + 4GB de Bônus. lembramos que a data de vencimento poderá ser alterada a qualquer momento de acordo com a própria escolha do cliente. Ademais a claro pede desculpas a todo transtorno causado! . Este atendimento foi registrado no protocolo 07260131, e esclarecemos ainda que poderá nos contatar através do Fale com a sua Prestadora no endereço https://resolvaaqui.claro.com.br/ e pela nossa Ouvidoria através do 0800-701-0180 para serviços Residenciais e Combo Multi, ou 0800-020-0200 para serviço Móvel ou Empresarial._x000D_
_x000D_
"
,"Prestadora: CLARO_x000D_
Consumidor(a) reclama que solicitou a portabilidade da sua linha, e até a presente data não foi concluída._x000D_
O que o consumidor solicita como providências: Conclusão da sua portabilidade._x000D_
Serviço Reclamado: Telefone Fixo_x000D_
Telefone associado ao problema: 3732147777_x000D_
_x000D_
Protocolo da prestadora reclamada: 832212909153442"
,"O que o consumidor reclama: Consumidor(a) reclama que solicitou a portabilidade da linha da prestadora TIM para a prestadora CLARO, onde de imediato foi solicitado o cancelamento da portabilidade, devido a melhorias de oferta da prestadora TIM, a prestadora CLARO informou que ao receber o chip seria apenas necessário negar o serviço, porém a portabilidade não foi cancelada, impossibilitando de ativar o novo plano ofertado pela prestadora TIM._x000D_
Consumidor(a) solicita como providência: Solicita o cancelamento da portabilidade sem ônus e permanecer na prestadora TIM._x000D_
Serviço reclamado: Plano Controle._x000D_
Telefone com problema: 71 9.92298160._x000D_
"
Demora na portabilidade,"Aa portabilidade já está durando mais de 4 dias uteis e 6 dias corridos. Liguei na Tim, abri um protocolo reclamando dela, e agora estou abrindo este, pois, alguém tem de resolver. A portabilidade estava agendada para dia 1 às 6:00 e até o presente momento nada foi feito. Na claro quando abro um protocolo o atendente sequer se esforça pra sair do automático e responder algo assertivo."
,"Descrição do problema: Pediu portabilidade 29/01/2021 e não houve conclusão até hoje, houve agendamento de visita técnica e não é resolvido._x000D_
O que o consumidor solicita como providências: Regularizar e desconto dos dias._x000D_
Serviço Reclamado: Portabilidade._x000D_
Telefone associado ao problema(quando for linha telefônica): 21 36276889_x000D_
Protocolo Relacionado (protocolo Anatel):_x000D_
Protocolo da prestadora reclamada:"
,"Em 27/02/2021 recebi uma ligação do colaborador Rebert às 20h15, conforme protocolo informado me orientando a ir a uma loja física da TIM e solicitar o estorno da linha. Deixou frisado que deveria pedir estorno e não portabilidade para que não ocorresse multa. Em 28/02/2021 me dirigi a loja da TIM no Mooca Plaza Shopping e pra minha surpresa a linha não estava com a TIM. Preciso de uma solução rápida e definitiva sobre o caso. São idas e vindas em lojas físicas, perda de tempo em ligações telefônicas sem solução e o prejuízo de não utilizar meu número de telefone no meu trabalho. Aguardo parecer. "
Cobrança indevida,"Descrição do problema: Consumidor(a) reclama que...Dia 28/12/2020 Recebeu um proposta de portabilidade da NEXTEL para a CLARO e TIM para CLARO._x000D_
A linha 21979360379 - cliente informa que a linha funciona mas não recebeu CHIP CLARO._x000D_
21969877909 / 21979151841  - a portabilidade da TIM para CLARO ainda não aconteceu._x000D_
_x000D_
Cliente reclama que o valor do plano combinado não está sendo cobrado corretamente._x000D_
_x000D_
O que o consumidor solicita como providências: Conclusão da portabilidade e correção do plano._x000D_
_x000D_
Serviço Reclamado: Celular, internet e TV._x000D_
Telefone associado ao problema(quando for linha telefônica): 21979360379 / 21969877909 / 21979151841"
Demora na portabilidade,"Descrição do problema: Consumidor reclama que está tentando fazer portabilidade para a operadora, mas que não consegue registrar o pedido pela internet como foi encaminhado pela loja e na central que também não consegue falar com um atendente._x000D_
O que o consumidor solicita como providências: que seja feita a portabilidade com urgência._x000D_
Serviço reclamado: pré pago._x000D_
Telefone com problema(quando for linha telefônica): 21971390305_x000D_
Protocolo da prestadora: 2021180693722_x000D_
_x000D_
Consumidor solicita providências._x000D_
"
Problema de funcionamento após portabilidade,"Solicitei a portabilidade a mais de 15 dias, portaram o número meu pertencente a tim, mas no momento não consigo fazer ligações, sem acesso a internet, sem envio de sms, nada funciona fizeram a portabilidade com vários problemas, ja solicitei ajuda via chat, via email, via ouvidoria e ambas não me ajudam com a solução.."
,"Bom dia, me chamo Hector , Proprietario da empresa asas iluminar    Estamos Desde o inicio de janeiro tentando Realizar a portabilidade de nossas 4 linhas telefonicas e não temos sucesso .   estamos sem telefone , sem poder trabalhar , por conta da nossa antiga operadora .  resolvi fazer a portabilidade para a claro achando que iria ser melhor ,   porem não estou tento sucesso .     ja tentei mais de 5 vezes fazer o pedido que demora em media por ligação 50 minutos ,   o serviço é agendado  e nada é feito . ninguem vem  ,  apenas vieram aqui duas vezes  os tecnicos  mas nunca executam o serviço alegando que uma ordem de serviço está bloqueada na embratel .    trazem modem , levam modem embora , supervisor ja veio aqui e nada ,    ligamos para a central juntos aqui , eu e o tecnico .   para tentar resolver , mas nao deu em nada ,  na quinta feira dia 25 , foi a ultima tentativa ,   com o tecnico e supervisor presentes aqui ,  na hora da liberação das linhas foi dito que havia uma ""OS presa na Embratel""  este foi o termo usado pela atendente que estava ao telefona com o tecnico e com o suporvisor aqui presentes  ,           outro problema foi :   Esta OS que esta Presa é referente a uma Linha telefonica que NÃO SOLICITEI E QUE COLOCARAM NO MEU PLANO SEM A MINHA ALTORIZAÇÃO  descobri isso em uma das ligações que fiz pedindo a portabiliade  e  solicitei o cancelamento dela  na mesma hora , e NÃO FOI CANCELADA ,   estou com medo de me gerarem uma Cobrança indevida referente a um produto que não solicitei .     o numero desta linha é : 21 21439528 , não tenho esta linha e nunca solicitei . alguem colocou la sem minha autorização . _x000D_
_x000D_
meus protocolos todos quando tento ligar na ouvidoria dizem que não estão registrados no sistema ,   os protocolos são  :   038214423141988,038214456858805,038214426799121,038214445608030,038214445682935,038214455480015    ,    038214458442913   este ultimo é referente a baixa da OS indevida e do agendamento que fiz para sexta feira passada para realizar minha portabilidade  _x000D_
_x000D_
estou tentando ser cliente da Claro e não Consigo , gostaria de Ajuda , pois não estou sendo tratado da forma correta . "
Cobrança indevida,"Descrição do problema: Consumidor (a) reclama que  contratou plano com portabilidade no valor total aproximado de R$150,00, com isenção de taxas de instalação, porém fatura foi gerada com valor divergente e portabilidade não foi concluída até o momento. _x000D_
O que o consumidor solicita como providências: ajuste de valor e conclusão de portabilidade _x000D_
Serviço reclamado: Combo Multi_x000D_
Telefone associado ao problema: (11) 979626163_x000D_
_x000D_
"
,"Descrição do problema: Sr. Vagner reclama que no dia 12.02.2021 solicitou a portabilidade de 2 linhas fixas da Vivo para a Claro, foi informado um prazo de 7 dias, porém, até o momento nada foi resolvido e o consumidor aguarda providência, pois, a linha 6133011501 está sem funcionar! _x000D_
O que solicita como providência: A conclusão da portabilidade com urgência. _x000D_
Telefone Reclamado: 6133011501 / 6133013012 _x000D_
_x000D_
_x000D_
Responsável: Vagner Luíz Soares Mendes"
Demora na portabilidade,"Descrição do problema: Consumidor reclama que fez a portabilidade de sua linha e a linha ainda não foi ativada._x000D_
O que o consumidor solicita como providências: A conclusão da ativação da sua linha._x000D_
Telefone reclamado: não sabe._x000D_
Serviço reclamado: móvel_x000D_
Protocolo da prestadora reclamada: ão possui_x000D_
Protocolo Relacionado anatel:"
,"Foi solicitado um pedido de portabilidade Vivo-Claro no dia 23/10/2020. E até a presente data o serviço não foi concluído, sempre está em andamento, ou o pedido foi negado e tenho que fazer nova solicitação. e da última vez falaram que um técnico deveria ir ao local para instalar o ponto pois a portabilidade foi concluída, mas sempre cancelam a visita e quando entro em contato para agendar nova visita informam que o serviço está bloqueado pra mim. E não é possível agendar visita técnica. Eles fazem solicitação de desbloqueio para agendar a visita, pediram o prazo de 24 h, mas estou aguardando há 1 semana. O telefone está em nome da empresa, CNPJ 05.340.915/0001-60."
